,frame,pred_x,pred_y
961,962,689,7
962,963,750,65
963,964,764,5
964,965,781,4
965,966,792,6
966,967,771,-100
967,968,835,-148
968,969,869,-100
969,970,749,25
970,971,863,67
971,972,810,80
972,973,713,-162
973,974,727,-2
974,975,567,109
975,976,675,-24
976,977,728,-34
977,978,686,-26
978,979,701,-114
979,980,685,-136
980,981,730,290
981,982,717,209
982,983,751,85
983,984,805,22
984,985,841,47
985,986,810,-61
986,987,765,52
987,988,793,99
988,989,846,8
989,990,792,111
990,991,883,74
991,992,854,79
992,993,806,76
993,994,791,70
994,995,828,0
995,996,826,-35
996,997,723,-141
997,998,766,-129
998,999,715,38
999,1000,805,-65
1000,1001,728,0
1001,1002,768,116
1002,1003,754,40
1003,1004,681,-37
1004,1005,744,-114
1005,1006,701,-116
1006,1007,762,-24
1007,1008,723,-77
1008,1009,730,116
1009,1010,723,-28
1010,1011,693,-69
1011,1012,693,-79
1012,1013,715,-36
1013,1014,706,49
1014,1015,734,-40
1015,1016,813,-64
1016,1017,733,-11
1017,1018,713,-123
1018,1019,752,-144
1019,1020,770,-187
1020,1021,759,160
1021,1022,713,48
1022,1023,752,69
1023,1024,691,148
1024,1025,814,-55
1025,1026,767,68
1026,1027,742,107
1027,1028,717,174
1028,1029,725,99
1029,1030,764,130
1030,1031,813,1
1031,1032,883,-124
1032,1033,790,-34
1033,1034,808,-63
1034,1035,813,-6
1035,1036,808,-26
1036,1037,750,-65
1037,1038,757,81
1038,1039,792,46
1039,1040,913,15
1040,1041,769,138
1041,1042,782,155
1042,1043,746,95
1043,1044,713,104
1044,1045,747,-55
1045,1046,720,77
1046,1047,792,39
1047,1048,720,-54
1048,1049,786,-31
1049,1050,766,-109
1050,1051,868,-33
1051,1052,856,-6
1052,1053,759,-52
1053,1054,880,-101
1054,1055,838,-88
1055,1056,850,-81
1056,1057,834,-55
1057,1058,846,-40
1058,1059,901,76
1059,1060,872,35
1060,1061,914,77
1061,1062,843,42
1062,1063,922,22
1063,1064,781,77
1064,1065,802,-11
1065,1066,794,-18
1066,1067,805,-48
1067,1068,771,-135
1068,1069,753,-116
1069,1070,821,-91
1070,1071,741,2
1071,1072,702,5
1072,1073,752,5
1073,1074,793,1
1074,1075,813,-181
1075,1076,818,-144
1076,1077,757,-163
1077,1078,731,-119
1078,1079,788,-44
1079,1080,757,-79
1080,1081,772,203
1081,1082,759,111
1082,1083,782,256
1083,1084,692,211
1084,1085,752,94
1085,1086,772,113
1086,1087,821,61
1087,1088,738,110
1088,1089,763,5
1089,1090,748,-9
1090,1091,835,79
1091,1092,742,71
1092,1093,837,39
1093,1094,721,-6
1094,1095,831,-32
1095,1096,803,-35
1096,1097,758,-122
1097,1098,874,-153
1098,1099,875,-272
1099,1100,864,-223
1100,1101,822,91
1101,1102,866,-35
1102,1103,807,-36
1103,1104,890,-29
1104,1105,945,-162
1105,1106,913,-197
1106,1107,902,-160
1107,1108,796,-48
1108,1109,850,-44
1109,1110,882,-188
1110,1111,879,14
1111,1112,847,43
1112,1113,846,94
1113,1114,853,-15
1114,1115,877,-73
1115,1116,893,-57
1116,1117,830,-71
1117,1118,830,-66
1118,1119,828,-138
1119,1120,744,-142
1120,1121,674,-29
1121,1122,743,-86
1122,1123,801,-66
1123,1124,699,-4
1124,1125,744,9
1125,1126,732,-112
1126,1127,724,-136
1127,1128,736,-60
1128,1129,699,-196
1129,1130,702,-312
1130,1131,774,-154
1131,1132,763,-53
1132,1133,731,-62
1133,1134,730,-84
1134,1135,767,-176
1135,1136,804,-92
1136,1137,722,-133
1137,1138,745,-150
1138,1139,817,-286
1139,1140,808,-180
1140,1141,752,14
1141,1142,742,-24
1142,1143,729,43
1143,1144,692,45
1144,1145,725,55
1145,1146,713,-48
1146,1147,673,10
1147,1148,655,-70
1148,1149,705,-25
1149,1150,541,28
1150,1151,727,-91
1151,1152,739,-53
1152,1153,699,-21
1153,1154,779,-5
1154,1155,792,53
1155,1156,756,33
1156,1157,808,-58
1157,1158,782,-21
1158,1159,772,-40
1159,1160,801,-27
1160,1161,751,130
1161,1162,676,82
1162,1163,794,-30
1163,1164,751,48
1164,1165,689,19
1165,1166,713,-9
1166,1167,706,42
1167,1168,722,-21
1168,1169,732,4
1169,1170,731,16
1170,1171,740,89
1171,1172,647,159
1172,1173,726,64
1173,1174,761,58
1174,1175,762,29
1175,1176,739,83
1176,1177,756,-130
